601, 565, 582, 562, 575, 592, 682
740, 607, 592, 741, 725, 733, 686
607, 625, 506, 582, 597, 701, 592
540, 625, 553, 299, 582, 577, 556
558, 590, 544, 630, 560, 679, 575
602, 740, 656, 572, 677, 606, 566
644, 565, 720, 599, 641, 580, 450
506, 594, 492, 521, 630, 724, 303
1145, 1024, 820, 450, 390, 450, 382
590, 800, 510, 450, 740, 752, 600
710, 336, 680, 288, 870, 750, 600
740, 680, 660, 620, 666, 450, 690
450, 750, 702, 592, 820, 707, 650
882, 699, 920, 721, 722, 699, 650
943, 723, 716, 712, 694, 681, 710
693, 677, 888, 620, 694, 717, 689
680, 742, 777, 671, 704, 665, 702
825, 792, 800, 750, 922, 688, 880
894, 888, 876, 889, 892, 909, 1129
891, 912, 904, 992, 941, 771, 960
660, 988, 735, 907, 953, 744, 730
1020, 606, 710, 600, 631, 621, 610
630, 610, 625, 925, 617, 702, 630
941, 1240, 902, 670, 740, 655, 660
625, 693, 650, 651, 680, 631, 664
831, 690, 850, 760, 730, 690, 770
609, 612, 623, 601, 600, 650, 640
704, 690, 889, 650, 690, 603, 605
